estado,integridad_nodo,ruta,ecosistema,municipio,nomenclatura_nodo,labeled,ecosistema_str,coord_longitud,cumulo,estado_str,fecha_foto,coord_latitud,ultima_modificacion,id,municipio_str
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/e6cba4fd63f70fc6ea04f82c4bf2c031_0224.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-18T09:03:41Z,31.2639,2023-04-01T03:24:28.800Z,2c1fbf00-5da7-428b-b16b-a176ccc130cd,Municipio de Agua Prieta
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/c8051d174f49e40bc37759d38d22ab32_0232.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-18T22:15:22Z,31.2639,2023-04-01T03:24:21.519Z,4c3229a7-8a90-40ca-baac-daef7f94fd50,Municipio de Agua Prieta
Sonora,Degradado,95/1_95_0_1348/HLPXGM09049470/2021-08-04/images_videos/2cd4644661f804c64aaeb7497ae2374c_0128.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.944,95,Sonora,2021-08-18T04:17:36Z,31.2598,2023-04-01T03:29:03.394Z,ce37a43b-24f4-4e07-8031-a09279a28b3b,Municipio de Agua Prieta
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/247b89c51ab2779f239e38517c32f7a7_0067.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8138,92,Chiapas,2021-08-18T06:40:01Z,16.1566,2023-04-01T03:27:44.984Z,be70608e-f889-4da7-9a57-0a76b841b58d,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/8c73abc24333d031ee17d0f2973d2dc4_0068.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8138,92,Chiapas,2021-08-18T06:40:03Z,16.1566,2023-04-01T03:27:45.029Z,ec8e3291-7b47-48e5-8160-92a9b224c573,Marqués de Comillas
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048483/2021-08-05/images_videos/b81f05e5a224c91a53edd36a4e90b3fd_0133.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.978,13,Campeche,2021-08-18T06:19:19Z,18.0967,2023-04-01T03:24:37.233Z,59582517-1fb4-4f75-bc9b-6298c991548f,Palizada
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/3f48c853bb406e3210d911440222005a_0235.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-18T22:16:52Z,31.2639,2023-04-01T03:24:10.243Z,27d723d7-668f-4ae0-bdf4-4c54e3be531f,Municipio de Agua Prieta
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048642/2021-08-04/images_videos/0e780a16224d7ce4bb7323c182790de1_0233.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.955,95,Sonora,2021-08-18T22:15:23Z,31.2639,2023-04-01T03:24:04.686Z,2c8878fd-7da2-40f5-b95a-f3b5eed4d037,Municipio de Agua Prieta
Morelos,Integro,32/4_32_1_1287/HLPXGM09049971/2021-08-11/images_videos/1dc4043a2c80fffe76c644cdb7f937bd_0085.JPG,Selvas secas,Tlaquiltenango,4_32_1_1287,true,Selvas secas,-98.9965,32,Morelos,2021-08-19T00:02:36Z,18.4153,2023-04-01T03:25:12.374Z,5db31468-95a3-462a-9897-bac36b6df32f,Tlaquiltenango
Morelos,Integro,32/4_32_1_1287/HLPXGM09049971/2021-08-11/images_videos/d465c60fee9b78f4f792924de9b55113_0086.JPG,Selvas secas,Tlaquiltenango,4_32_1_1287,true,Selvas secas,-98.9965,32,Morelos,2021-08-19T00:02:37Z,18.4153,2023-04-01T03:25:33.060Z,9be43a72-cc67-440b-9ad0-b367f606e557,Tlaquiltenango
